id.resp_p,proto,duration,orig_bytes,resp_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,malware status
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,3042,0,RSTR,3,1600,5,224,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
udp,dns,45,90,SF,1,73,2,146,Benign
udp,dns,-,-,S0,1,67,0,0,Benign
udp,dns,-,-,S0,1,67,0,0,Benign
udp,dns,-,-,S0,1,73,0,0,Benign
udp,dns,-,-,S0,1,71,0,0,Benign
udp,dns,78,0,S0,2,134,0,0,Benign
udp,dns,78,0,S0,2,134,0,0,Benign
udp,dns,78,0,S0,2,134,0,0,Benign
udp,dns,90,0,S0,2,146,0,0,Benign
udp,dns,90,90,SF,2,146,2,146,Benign
udp,dns,90,90,SF,2,146,2,146,Benign
udp,dns,78,103,SF,2,134,1,131,Benign
udp,dns,76,54,SF,2,132,1,82,Benign
udp,dns,78,103,SF,2,134,1,131,Benign
udp,dns,39,103,SF,1,67,1,131,Benign
udp,dns,45,45,SF,1,73,1,73,Benign
udp,dns,45,45,SF,1,73,1,73,Benign
udp,dns,38,54,SF,1,66,1,82,Benign
udp,dns,45,45,SF,1,73,1,73,Benign
udp,dns,38,54,SF,1,66,1,82,Benign
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,-,-,S0,1,60,0,0,Malicious
tcp,-,-,-,OTH,0,0,1,88,Benign 
tcp,-,-,-,OTH,0,0,1,88,Benign   
udp,-,48,48,SF,1,76,1,76,Benign  
tcp,irc,337,2462,RSTR,14,917,13,2986,Malicious
tcp,irc,71,449,SF,12,703,12,1081,Malicious
tcp,irc,71,440,SF,10,599,9,916,Malicious
tcp,irc,71,440,SF,11,651,9,916,Malicious
tcp,irc,71,446,SF,12,703,12,1078,Malicious
tcp,irc,71,449,SF,11,651,11,1029,Malicious
udp,dns,92,171,SF,2,148,2,227,Benign  
udp,dns,53,116,SF,1,81,1,144,Benign  
udp,dns,52,115,SF,1,80,1,143,Benign  
udp,dns,84,204,SF,2,140,2,260,Benign  
udp,dns,74,448,SF,2,130,2,504,Benign  
udp,dns,66,110,SF,2,122,2,166,Benign  
udp,dns,82,468,SF,2,138,2,524,Benign  
udp,dns,160,232,SF,2,216,2,288,Benign  
udp,dns,53,116,SF,1,81,1,144,Benign  
udp,dns,84,210,SF,2,140,2,266,Benign  
udp,dns,43,90,SF,1,71,1,118,Benign  
udp,dns,64,154,SF,2,120,2,210,Benign  
udp,dns,68,147,SF,2,124,2,203,Benign  
udp,dns,52,115,SF,1,80,1,143,Benign  
udp,dns,53,116,SF,1,81,1,144,Benign  
udp,dns,82,468,SF,2,138,2,524,Benign  
udp,dns,74,448,SF,2,130,2,504,Benign  
udp,dns,66,110,SF,2,122,2,166,Benign  
tcp,ssl,1591,31327,SF,47,3631,42,41656,Benign  
tcp,ssl,1125,7136,SF,23,2355,18,8092,Benign  
tcp,ssl,815,43340,SF,44,3608,39,45388,Benign  
tcp,ssl,652,6412,SF,16,1500,9,4004,Benign  
tcp,ssl,598,5672,SF,16,1458,11,6252,Benign  
tcp,ssl,815,27403,SF,54,3399,49,48450,Benign  
tcp,http,172,57110,SF,43,2476,43,59354,Benign  
tcp,http,173,95771,SF,71,4165,68,96419,Benign  
tcp,http,168,1616,SF,6,488,4,216,Benign  
tcp,http,153,1597,SF,6,473,4,216,Benign  
tcp,http,151,1578,SF,6,471,4,216,Benign  
tcp,http,144,1509,SF,8,532,6,1829,Benign  
tcp,http,150,1573,SF,7,534,6,1893,Benign  
tcp,http,144,1510,SF,7,528,6,1830,Benign  
tcp,irc,92,190,RSTR,8,516,10,670,Malicious
tcp,irc,576,1148,S1,203,11140,389,19428,Malicious
tcp,-,0,0,RSTO,2,100,1,52,Malicious
tcp,irc,325,794,S1,92,5117,171,8854,Malicious
tcp,-,36,280,OTH,5,296,4,488,Benign  
tcp,-,0,0,REJ,2,120,1,40,Benign  
tcp,ssh,333,1581,RSTR,8,757,12,2201,Benign  
tcp,ssh,589,1683,RSTR,14,1169,14,2247,Benign  
tcp,ssh,589,1783,RSTR,15,1209,15,2387,Benign  
tcp,ssh,589,1683,RSTR,14,1169,15,2287,Benign  
tcp,ssh,589,1683,RSTR,14,1169,15,2287,Benign  
tcp,ssh,589,1683,RSTR,14,1169,14,2247,Benign  
tcp,ssh,537,1815,RSTR,14,1117,16,2459,Benign  
tcp,irc,92,190,RSTR,8,516,10,670,Malicious
tcp,irc,576,1148,S1,203,11140,389,19428,Malicious
tcp,-,0,0,RSTO,2,100,1,52,Malicious
tcp,irc,325,794,S1,92,5117,171,8854,Malicious
tcp,irc,227,765,SF,44,2577,74,4321,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
tcp,irc,1641,2578,S1,745,40473,1454,70910,Malicious
tcp,irc,6303,9069,S1,3031,164117,5975,289732,Malicious
tcp,-,0,0,REJ,1,60,1,40,Benign  
tcp,-,0,0,REJ,1,60,1,40,Benign  
tcp,-,0,0,REJ,2,120,1,40,Benign  
tcp,-,0,0,REJ,1,60,1,40,Benign  
